,Symbol,Name,MarketCapitalization,EBITDA,LatestQuarter,PercentInstitutions
0,SNE,Sony Corporation,116034052096,None,2020-09-30,7.922
1,TAP,Molson Coors Beverage Company,10434802688,2268100096,2020-09-30,87.365
2,SNOW,Snowflake Inc,105103712256,None,2020-09-30,96.324
3,F,Ford Motor Company,37596164096,7048999936,2020-09-30,52.074
4,R,"Ryder System, Inc",3337890816,2232715008,2020-09-30,89.999
5,NOW,"ServiceNow, Inc",103010844672,525124000,2020-09-30,91.147
6,TTD,"The Trade Desk, Inc",41575616512,112119000,2020-09-30,76.871
7,ADBE,Adobe Inc,232059273216,4558889984,2020-08-31,86.248
8,DDOG,"Datadog, Inc",29128486912,6908000,2020-09-30,70.769
9,FSLY,"Fastly, Inc",10343255040,-21898000,2020-09-30,55.272
